AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200903010041|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200903010041|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200903010041|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200903010042|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200903010042|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200903010042|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200903010042|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200903010042|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200903010042|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200903012249|SAT|info|nvl 2:(dispatcher) nenhum CF-e-SAT para ser transmitido para a SEFAZ
20200903012250|SAT|info|nvl 2:(dispatcher) aguarda proxima transmissao (tempo:013700)
20200903013250|SAT|info|nvl 2:(CFeRetRecepcao) nenhum lote pendente de verificacao na SEFAZ
20200903013621|SAT-SEFAZ|info|nvl 2:(CFeComandos):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br/CfeComandos/CfeComandos.asmx
20200903013622|SEFAZ-SAT|info|nvl 2:(CFeComandos):0.07 resposta do webservice (120:Não existem comandos da SEFAZ pendentes)
20200903013622|SAT|info|nvl 2:(CFeComandos) aguarda proxima verificacao (tempo:024900)
20200903025950|SAT|info|nvl 2:(dispatcher) nenhum CF-e-SAT para ser transmitido para a SEFAZ
20200903025950|SAT|info|nvl 2:(dispatcher) aguarda proxima transmissao (tempo:013700)
20200903030950|SAT|info|nvl 2:(CFeRetRecepcao) nenhum lote pendente de verificacao na SEFAZ
20200903042522|SAT-SEFAZ|info|nvl 2:(CFeComandos):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br/CfeComandos/CfeComandos.asmx
20200903042524|SEFAZ-SAT|info|nvl 2:(CFeComandos):0.07 resposta do webservice (120:Não existem comandos da SEFAZ pendentes)
20200903042524|SAT|info|nvl 2:(CFeComandos) aguarda proxima verificacao (tempo:024900)
20200903043650|SAT|info|nvl 2:(dispatcher) nenhum CF-e-SAT para ser transmitido para a SEFAZ
20200903043650|SAT|info|nvl 2:(dispatcher) aguarda proxima transmissao (tempo:013700)
20200903044650|SAT|info|nvl 2:(CFeRetRecepcao) nenhum lote pendente de verificacao na SEFAZ
